TABLE S1: Pearson Correlation for ORFs represented by multiple oligonucleotides			
Bozdech & Llinas et al.			

This table contains all of the ORFs represented in the analyzed dataset which 			
are represented by multiple oligonucleotides on the DNA microarray.			

Column 1: PlasmoDB ID			
Column 2: Oligonucleotide ID			
Column 3: Number of oligonucleotides for that ORF			
Column 4: The average Pearson correlation between these oligonucleotides			

PlasmoDB ID	Oligonucleotide ID	Number of oligos for this ORF	Average Pearson correlation
MAL6P1.147	e20424_1		
MAL6P1.147	e20424_2		
MAL6P1.147	e20514_1		
MAL6P1.147	e4249_1		
MAL6P1.147	e9225_1		
MAL6P1.147	f14326_1		
MAL6P1.147	f33628_1		
MAL6P1.147	f35860_1		
MAL6P1.147	f67874_1		
MAL6P1.147	f8433_1		
MAL6P1.148	e49_1	2	0.90973119
MAL6P1.148	opff72478		
MAL6P1.160	a1411_1	2	0.945455725
MAL6P1.160	opff72425		
MAL6P1.168	d5782_1		
MAL6P1.168	e18445_1	3	0.95205431
MAL6P1.168	f38025_1		
MAL6P1.175	e10705_1	2	0.963094376
MAL6P1.175	e22471_1		
MAL6P1.178	f12867_3	2	0.95062137
MAL6P1.178	opff72420		
MAL6P1.198	e29468_1	2	0.966765779
MAL6P1.198	opff72470		
MAL6P1.200	f14111_2		
MAL6P1.200	f14111_3	4	0.982377361
MAL6P1.200	f14111_4		
MAL6P1.200	f14111_5		
MAL6P1.201	e13810_1		
MAL6P1.201	f11919_1	3	0.942006499
MAL6P1.201	f45228_1		
MAL6P1.211	f13503_1		
MAL6P1.211	f67106_1	3	0.052020025
MAL6P1.211	f67106_2		
MAL6P1.214	f30774_1	2	0.963829696
MAL6P1.214	opff72482		
MAL6P1.232	f4425_1		
MAL6P1.232	opff72426	4	0.935939535
MAL6P1.232	opff72438		
MAL6P1.232	opff72440		
MAL6P1.24	f47145_2	2	0.949282928
MAL6P1.24	f54097_1		
MAL6P1.254	f63188_2	2	0.976072575
MAL6P1.254	f63188_3		
MAL6P1.258	e8914_1	2	0.972827058
MAL6P1.258	e8914_2		
MAL6P1.267	f11484_1	2	0.904569871
MAL6P1.267	f65167_1		
MAL6P1.272	e24470_2		
MAL6P1.272	e2738_1	5	0.953607515
MAL6P1.272	f10949_2		
MAL6P1.272	f10949_3		
MAL6P1.272	f10949_4		
MAL6P1.277	e6043_1	2	0.717410282
MAL6P1.277	f32494_1		
MAL6P1.278	e3612_1		
MAL6P1.278	e3612_2	3	0.86376756
MAL6P1.278	opff72448		
MAL6P1.284	f19460_1	2	-0.793528822
MAL6P1.284	kn274_1		
MAL6P1.287	e9475_1		
MAL6P1.287	f1021_2	4	0.981452084
MAL6P1.287	f1021_3		
MAL6P1.287	f15646_1		
MAL6P1.34	kn2174_1	2	0.965324148
MAL6P1.34	kn2174_2		
MAL6P1.41	e27300_2	2	0.955300076
MAL6P1.41	f2650_2		
MAL6P1.48	f17612_1	2	0.752222602
MAL6P1.48	f43617_1		
MAL6P1.49	f10154_1	2	0.940136733
MAL6P1.49	f47790_1		
MAL6P1.68	f10044_1	2	0.980127017
MAL6P1.68	f10044_2		
MAL6P1.70	f10935_1		
MAL6P1.70	f10935_2	5	0.86935518
MAL6P1.70	f71755_1		
MAL6P1.70	opfblob0130		
MAL6P1.70	opff72465		
MAL6P1.80	f11776_1	2	0.977615059
MAL6P1.80	f22081_1		
MAL6P1.93	e17498_1		
MAL6P1.93	e18055_2	5	0.840656996
MAL6P1.93	f39050_1		
MAL6P1.93	f41728_1		
MAL6P1.93	f71594_1		
MAL7P1.102	e2926_1	2	0.976360569
MAL7P1.102	f24461_1		
MAL7P1.113	f48181_1	2	0.982598177
MAL7P1.113	f48181_2		
MAL7P1.119	f53897_2		
MAL7P1.119	kn5587_1	3	0.989147655
MAL7P1.119	kn5587_2		
MAL7P1.134	f20385_1		
MAL7P1.134	f20385_2	5	0.892265602
MAL7P1.134	f20385_3		
