TABLE S1: Pearson Correlation for ORFs represented by multiple oligonucleotides			
Bozdech & Llinas et al.			

This table contains all of the ORFs represented in the analyzed dataset which 			
are represented by multiple oligonucleotides on the DNA microarray.			

Column 1: PlasmoDB ID			
Column 2: Oligonucleotide ID			
Column 3: Number of oligonucleotides for that ORF			
Column 4: The average Pearson correlation between these oligonucleotides			

PlasmoDB ID	Oligonucleotide ID	Number of oligos for this ORF	Average Pearson correlation
PF11_0429	ks545_4		
PF11_0507	f40797_1	2	0.9865732
PF11_0507	ks157_15		
PF11_0508	ks157_13	2	0.98181383
PF11_0508	ks157_14		
PF11_0510	ks157_5	2	0.752350794
PF11_0510	opfk12902		
PF11_0512	ks157_1		
PF11_0512	ks157_2	3	0.978593498
PF11_0512	opfk12891		
PF11_0528	ks98_2		
PF11_0528	ks98_4	3	0.953098111
PF11_0528	ks98_7		
PF13_0014	m43418_1	2	0.993973257
PF13_0014	m43418_2		
PF13_0031	m29861_1	2	0.937875661
PF13_0031	m29861_2		
PF13_0044	m58024_2	2	0.972414438
PF13_0044	m8609_1		
PF13_0051	m12190_2	2	0.823153445
PF13_0051	opfm60496		
PF13_0064	m5299_1	2	0.783373859
PF13_0064	m5299_2		
PF13_0077	i2739_1	2	0.971592905
PF13_0077	m49637_1		
PF13_0080	m12963_1	2	0.95813135
PF13_0080	m364_2		
PF13_0091	i14335_1	2	0.927901286
PF13_0091	m50536_1		
PF13_0094	m53181_1		
PF13_0094	m53181_3	3	0.799219301
PF13_0094	m53181_4		
PF13_0096	m4927_1	2	0.654824732
PF13_0096	opfm60498		
PF13_0101	i4500_1	2	0.935916244
PF13_0101	m51089_1		
PF13_0115	m55949_1		
PF13_0115	opfblob0092	3	0.985598218
PF13_0115	opfm60470		
PF13_0117	m49210_1	2	0.968059109
PF13_0117	n156_6		
PF13_0118	n156_3	2	0.99077029
PF13_0118	opfm60503		
PF13_0121	m56268_1	2	0.976318735
PF13_0121	opfblob0100		
PF13_0126	m31208_2	2	0.952546666
PF13_0126	m31208_3		
PF13_0132	m44397_10	2	0.976218242
PF13_0132	opfm60494		
PF13_0139	m43799_1	2	0.92923585
PF13_0139	m43799_2		
PF13_0141	m12812_7		
PF13_0141	z_5_100	8	0.945611931
PF13_0141	z_5_40		
PF13_0141	z_5_50		
PF13_0141	z_5_60		
PF13_0141	z_5_70		
PF13_0141	z_5_80		
PF13_0141	z_5_90		
PF13_0145	m12812_1		
PF13_0145	m5455_1	3	0.910323608
PF13_0145	m5455_3		
PF13_0154	m37145_1	2	0.955347201
PF13_0154	m37145_2		
PF13_0155	m37145_3	2	0.966344179
PF13_0155	opfm60495		
PF13_0161	f28964_1	2	0.989977652
PF13_0161	m53752_1		
PF13_0173	j1010_1	2	0.99370924
PF13_0173	opfm60554		
PF13_0182	kn945_3	2	0.918107112
PF13_0182	m45177_1		
PF13_0183	i8757_1	2	0.870646327
PF13_0183	m47319_1		
PF13_0193	i11584_1		
PF13_0193	j541_1	4	0.38747309
PF13_0193	j541_3		
PF13_0193	m23550_1		
PF13_0199	i5698_1	2	0.863582198
PF13_0199	m52423_1		
PF13_0209	m6127_1	2	0.968297945
PF13_0209	m6127_5		
PF13_0221	j12778_2	2	0.44565408
PF13_0221	j12778_4		
PF13_0227	m8686_1	2	0.649857829
PF13_0227	m8686_5		
PF13_0254	i13918_1	2	-0.220523804
PF13_0254	m30027_1		
PF13_0257	m24933_4	2	0.965132869
PF13_0257	opfm60502		
PF13_0259	m21780_3	2	0.948851424
PF13_0259	opfm60491		
PF13_0270	m26051_1	2	0.972166616
PF13_0270	opfm60528		
PF13_0271	m26914_8	2	0.829421602
PF13_0271	m33512_1		
PF13_0274	m33579_2	2	0.902018779
PF13_0274	m33579_3		
PF13_0275	m53850_1	2	0.994828095
PF13_0275	m53850_2		
PF13_0278	m8199_1	2	0.896254358
PF13_0278	m8199_3		
PF13_0286	m25872_1	2	0.97364412
PF13_0286	opfm60536		
PF13_0303	m43376_3	2	0.901691878
PF13_0303	opfm60546		
PF13_0308	m26091_1	2	0.976348448
PF13_0308	opfm60506		
PF13_0315	m49010_1	2	0.965376897
PF13_0315	m59807_1		
PF13_0318	m26245_3	2	0.868329392
PF13_0318	m26245_5		
PF13_0326	m36754_18	2	0.97579116
PF13_0326	m36754_19		
PF13_0332	f33675_1	2	0.810230758
PF13_0332	i4688_1		
PF13_0335	m12359_1	2	0.912815458
PF13_0335	m6114_1		
PF13_0348	i11291_1	2	0.931544892
PF13_0348	m24104_1		
PF13_0351	m38941_7	2	0.846309136
PF13_0351	m38941_8		
PF13_0353	m38913_3	2	0.975399341
PF13_0353	opfm60514		
PF13_0359	m5949_1	2	0.92225963
PF13_0359	m5949_2		
PF14_0015	n145_28	2	0.963957351
PF14_0015	opfn0267		
PF14_0018	n145_20	2	0.987768923
PF14_0018	opfn0289		
PF14_0028	n155_15		
PF14_0028	n155_16	3	0.9469519
PF14_0028	opfn0268		
PF14_0029	n155_19	2	-0.144119249
PF14_0029	n155_21		
PF14_0051	n159_13	2	0.925440775
PF14_0051	n159_14		
PF14_0055	n159_24	2	0.97156759
PF14_0055	n159_25		
PF14_0089	n150_72	2	0.981038384
PF14_0089	n150_75		
PF14_0101	n150_51	2	0.154390769
PF14_0101	n150_52		
PF14_0102	n150_50	2	0.990572854
PF14_0102	opfn0248		
PF14_0108	n150_33	2	0.907682119
PF14_0108	n150_36		
PF14_0113	n150_15	2	0.951544141
PF14_0113	n150_16		
PF14_0121	n150_6	2	0.654736933
PF14_0121	n150_7		
PF14_0123	n152_12		
PF14_0123	n152_13	3	0.804160179
PF14_0123	n152_17		
PF14_0125	n152_8	2	0.953513076
PF14_0125	opfn0250		
PF14_0143	n175_6	2	0.880250843
PF14_0143	n175_8		
PF14_0175	f23564_1	2	0.909706791
PF14_0175	n143_76		
PF14_0183	n143_53	2	-0.015045153
PF14_0183	n143_54		
PF14_0185	i16149_1	2	0.963922746
PF14_0185	n143_45		
PF14_0190	n143_35	2	0.510360224
PF14_0190	opfn0283		
PF14_0200	m18376_1	2	0.970731266
PF14_0200	n143_12		
PF14_0213	n141_48	2	-0.115241052
PF14_0213	n141_50		
PF14_0223	n141_32	2	0.897322426
PF14_0223	opfn0280		
PF14_0224	n141_14		
PF14_0224	n141_27	3	0.988051025
PF14_0224	n141_8		
PF14_0241	n181_17	2	0.974057469
PF14_0241	opfn0273		
PF14_0243	n181_21	2	0.089765712
PF14_0243	opfn0264		
PF14_0252	n136_13	2	0.937896067
PF14_0252	n136_14		
PF14_0257	n157_10	2	0.95934139
PF14_0257	opfn0269		
PF14_0277	n138_10	2	0.810118136
PF14_0277	opfn0276		
PF14_0289	n138_35	2	0.977061858
PF14_0289	opfn0270		
PF14_0309	n138_91	2	0.983018491
PF14_0309	opfn0265		
PF14_0338	n132_142	2	0.901667457
PF14_0338	n132_147		
PF14_0346	n132_124		
PF14_0346	n132_125	3	0.950937577
PF14_0346	opfn0272		
PF14_0358	n132_103	2	0.77635852
PF14_0358	opfn0247		
PF14_0371	n132_57	2	0.155709915
PF14_0371	n132_60		
PF14_0378	n132_40	2	0.986766445
PF14_0378	opfn0252		
PF14_0381	n132_27	2	0.979514789
PF14_0381	opfn0246		
PF14_0392	i9716_1		
PF14_0392	i9716_2	3	0.837675057
PF14_0392	n128_98		
PF14_0403	n128_76	2	0.748285727
PF14_0403	n128_80		
PF14_0439	n128_4	2	0.983769568
PF14_0439	opfn0263		
PF14_0463	j2286_1	2	0.958755287
PF14_0463	n151_14		
PF14_0492	i1225_2	2	0.987961941
PF14_0492	n149_22		
PF14_0502	n140_12	2	0.972882098
PF14_0502	opfn0261		
PF14_0504	kn7887_2	2	-0.023440616
PF14_0504	n140_21		
PF14_0506	n140_25	2	0.959225989
PF14_0506	n173_6		
PF14_0531	n153_1	2	0.964897996
PF14_0531	n168_1		
PF14_0541	m25771_1	2	0.943375084
PF14_0541	n130_60		
PF14_0543	n130_52	2	0.955437137
PF14_0543	opfn0271		
PF14_0571	n130_4	2	0.944130468
PF14_0571	n130_5		
PF14_0583	n134_120	2	0.955207117
PF14_0583	n134_123		
PF14_0584	n134_119	2	0.966424922
PF14_0584	opfn0256		
PF14_0586	n134_113	2	0.974545188
PF14_0586	n134_114		
PF14_0587	n134_111	2	0.983666488
PF14_0587	opfn0275		
PF14_0589	m15943_1		
PF14_0589	n134_106	3	0.971731096
PF14_0589	opfn0262		
PF14_0608	i43_1	2	0.957405961
PF14_0608	n134_67		
PF14_0620	n134_30	2	0.96115281
PF14_0620	n134_32		
PF14_0631	j299_1		
PF14_0631	n134_1	3	0.381849842
PF14_0631	n135_27		
PF14_0635	n135_18	2	0.952900421
PF14_0635	n135_20		
PF14_0637	n135_14	2	0.884021199
PF14_0637	n135_16		
PF14_0666	n137_21	2	0.988819112
PF14_0666	n137_23		
PF14_0678	i8963_1	2	0.922732225
PF14_0678	n187_2		
PF14_0691	n133_36	2	0.879256503
PF14_0691	n133_39		
PF14_0704	i2629_1	2	0.976549857
PF14_0704	n161_2		
PF14_0712	n147_10	2	0.629369003
PF14_0712	n147_13		
PF14_0714	n147_21	2	0.968031616
PF14_0714	opfn0279		
PFA0110w	a10325_29		
PFA0110w	a10325_30	3	0.976893969
PFA0110w	a10325_32		
PFA0180w	a8010_10		
PFA0180w	a8010_11	3	0.803164106
PFA0180w	opfa32037		
PFA0285c	a8109_16	2	0.960505599
PFA0285c	a8109_21		
PFA0390w	a25493_1	2	0.98167457
PFA0390w	opfa32036		
PFA0430c	a21885_19	2	0.917331864
PFA0430c	a22429_1		
PFA0445w	a31914_5	2	0.970244915
PFA0445w	a31914_6		
PFA0525w	a13725_6	2	0.961051973
PFA0525w	a13725_7		
PFA0630c	a14801_20	2	0.969263305
PFA0630c	opfa32029		
PFB0150c	b92		
PFB0150c	b93	3	0.312476455
PFB0150c	opfb0671		
PFB0194w	b117	2	0.90522489
PFB0194w	b119		
PFB0270w	b171	2	0.850944717
PFB0270w	b172		
PFB0295w	b186	2	0.848846984
PFB0295w	opfb0669		
PFB0315w	b197	2	0.988745248
PFB0315w	d1479_1		
PFB0330c	b209	2	0.863207349
PFB0330c	opfb0670		
PFB0365w	b251		
PFB0365w	b262	3	0.181539821
PFB0365w	opfb0687		
PFB0395w	b277	2	0.955749819
PFB0395w	opfb0680		
PFB0420w	b295	2	0.96609267
PFB0420w	opfb0676		
PFB0425c	b297	2	-0.229419027
PFB0425c	b299		
PFB0445c	b312	2	0.975389659
PFB0445c	opfb0675		
PFB0475c	b326	2	0.979904177
PFB0475c	b327		
PFB0535w	b370	2	0.968504613
PFB0535w	b371		
PFB0555c	b381	2	0.942045295
PFB0555c	opfb0688		
PFB0640c	a10935_1		
PFB0640c	b431	3	0.929988048
PFB0640c	d36666_4		
PFB0680w	b456	2	0.987072012
PFB0680w	b457		
PFB0735c	b484	2	0.954022413
PFB0735c	opfb0673		
PFB0820c	b524	2	0.833847322
PFB0820c	b529		
PFB0826c	b530	2	0.884421194
PFB0826c	b532		
PFB0860c	b547	2	0.969451179
PFB0860c	opfb0679		
PFB0865w	b549	2	0.893587906
PFB0865w	opfb0668		
PFB0935w	b593	2	0.968919873
PFB0935w	b597		
PFC0115c	c67		
PFC0115c	c71	6	0.896142688
PFC0115c	c72		
PFC0115c	c73		
PFC0115c	c74		
PFC0115c	c75		
PFC0120w	c76	2	-0.311572916
PFC0120w	opfc0772		
PFC0165w	c114	2	0.220883577
PFC0165w	c115		
PFC0195w	c128		
PFC0195w	c129	3	0.564790482
PFC0195w	opfblob0061		
PFC0265c	c169	2	0.749750189
PFC0265c	opfc0754		
PFC0285c	c184	2	0.901859752
PFC0285c	c187		
PFC0320w	c217	2	0.987984907
PFC0320w	opfc0747		
PFC0350c	c234	2	0.972362669
PFC0350c	opfc0749		
PFC0490w	c321	2	0.901150281
PFC0490w	c322		
PFC0570c	c382		
PFC0570c	c384	4	0.893390966
PFC0570c	c385		
PFC0570c	opfblob0025		
PFC0571c	c386		
PFC0571c	c387	3	0.97110272
PFC0571c	c388		
PFC0581w	c416	2	0.980369506
PFC0581w	c417		
PFC0590c	c418		
PFC0590c	c419	3	0.519726796
PFC0590c	opfc0773		
PFC0700c	c451	2	0.993989079
PFC0700c	opfc0758		
PFC0745c	c497		
PFC0745c	c498	3	0.965821004
PFC0745c	opfc0751		
PFC0805w	c527		
PFC0805w	f22770_1	3	0.963844602
PFC0805w	opfc0750		
PFC0865w	c574	2	0.889354167
PFC0865w	opfc0764		
PFC0875w	c582	2	0.92399308
PFC0875w	opfc0755		
PFC0970w	opfblob0024	2	0.866014024
PFC0970w	opfc0770		
PFC1025w	c681	2	0.987522536
PFC1025w	opfc0771		
PFD0070c	d42243_37	2	0.973662228
PFD0070c	opfd67011		
PFD0100c	d49942_3	2	0.97828369
PFD0100c	opfblob0178		
PFD0110w	d49942_10	2	0.985805624
PFD0110w	d49942_9		
PFD0135w	f30335_1	2	0.456625657
PFD0135w	opfd66989		
PFD0160w	d6287_27	2	0.81773765
PFD0160w	f19110_2		
PFD0180c	d6287_34		
PFD0180c	d6287_38	3	0.967447193
PFD0180c	f34704_1		
PFD0190w	d6287_53	2	0.958956295
PFD0190w	d6287_54		
PFD0225w	d49176_1	2	0.959316933
PFD0225w	d49176_3		
PFD0230c	d49176_6	2	0.984835073
PFD0230c	d49176_7		
PFD0245c	d49176_14	2	0.927124521
PFD0245c	f36380_5		
PFD0255w	d49176_26		
PFD0255w	opfd66990	3	0.971125152
PFD0255w	opfd66992		
PFD0305c	d49176_43	2	-0.560442298
PFD0305c	opfblob0014		
PFD0310w	d49176_46	2	0.991383102
PFD0310w	opfd66958		
PFD0320c	d49176_61	2	0.955260488
PFD0320c	d49176_68		
PFD0330w	d17715_136		
PFD0330w	d17715_138	3	0.923538663
PFD0330w	d17715_140		
PFD0335c	d17715_132	2	0.911926465
PFD0335c	opfblob0022		
PFD0385w	d63068_1	2	0.982220034
PFD0385w	opfblob0016		
PFD0440w	d17715_64		
PFD0440w	d17715_67	4	0.917812449
PFD0440w	opfblob0010		
PFD0440w	opfd66970		
PFD0445c	d17715_61	2	0.799214137
PFD0445c	opfd66961		
PFD0465w	d17715_51	2	0.918184207
PFD0465w	opfd66964		
PFD0495c	d17715_38	2	0.854118984
PFD0495c	f10953_1		
PFD0510c	d17715_37	2	0.221160162
PFD0510c	opfd66960		
PFD0525w	d17715_28	2	0.24559208
PFD0525w	opfd66959		
PFD0565c	d17715_17	2	0.755305462
PFD0565c	opfd66963		
PFD0590c	d17715_13	2	0.903751099
PFD0590c	opfd66962		
PFD0610w	d17715_8	2	0.436573471
PFD0610w	opfd66965		
PFD0685c	d23156_27		
PFD0685c	d23156_33	4	0.976695621
PFD0685c	d23156_40		
PFD0685c	f30473_2		
PFD0710w	d33539_16	2	0.932236196
PFD0710w	opfd67006		
PFD0725c	d33539_21	2	0.937641411
PFD0725c	opfblob0102		
PFD0735c	d33539_22		
PFD0735c	f20673_1	3	0.598428156
PFD0735c	f63161_1		
PFD0740w	d33539_26	2	0.92814602
PFD0740w	f20625_1		
PFD0750w	d33539_29	2	0.894067686
PFD0750w	d33539_31		
PFD0760c	d33539_33	2	0.945538494
PFD0760c	f6077_1		
PFD0780w	d33539_47	2	0.741954284
PFD0780w	opfd66996		
PFD0830w	d33539_76		
PFD0830w	opfd66954	3	0.952795467
PFD0830w	z_6_100		
PFD0835c	d33539_83	2	0.877699425
PFD0835c	opfd67004		
PFD0865c	d33539_96	2	0.960779532
PFD0865c	opfblob0040		
PFD0905w	d12635_3	2	0.89877814
PFD0905w	opfblob0171		
PFD0930w	d12635_22	2	0.870901941
PFD0930w	opfd66999		
PFD0945c	d12635_33	2	0.931784313
PFD0945c	opfd67016		
PFD0960c	d12635_38	2	0.890753863
PFD0960c	opfd66987		
PFD0965w	d12635_39		
PFD0965w	d12635_45	3	0.940958461
PFD0965w	d7257_1		
PFD0985w	d12635_51		
PFD0985w	d34646_1	8	0.982544261
PFD0985w	d4043_3		
PFD0985w	f15503_1		
PFD0985w	f4675_1		
PFD0985w	f64732_1		
PFD0985w	f8291_1		
PFD0985w	opfblob0191		
PFD1015c	f63433_1	2	0.09627087
PFD1015c	opfblob0133		
PFD1060w	d16785_23		
PFD1060w	f64192_2	3	0.909912099
PFD1060w	opfd67000		
PFD1110w	d16785_3	2	0.996554704
PFD1110w	d16785_4		
PFD1140w	d15909_8	2	0.97565231
PFD1140w	opfd67013		
PFD1145c	d15909_10	2	0.995711597
PFD1145c	opfd67014		
PFD1165w	d34948_3	2	0.959634903
PFD1165w	opfblob0103		
PFD1170c	d34948_2		
PFD1170c	opfblob0109	3	0.988944491
PFD1170c	opfblob0154		
PFD1175w	d27953_4	2	0.977695573
PFD1175w	opfd66975		
PFE0040c	e15452_2		
PFE0040c	e20360_1	3	0.97926435
PFE0040c	f22447_17		
PFE0100w	e11514_1		
PFE0100w	e15083_1	3	0.870387497
PFE0100w	e22468_1		
PFE0120c	e12253_3		
PFE0120c	f32316_2	3	0.925492536
PFE0120c	opfblob0020		
PFE0130c	e2283_7	2	0.742471745
PFE0130c	f58851_1		
PFE0155w	f13865_1	2	0.930167496
PFE0155w	f13865_2		
PFE0175c	e15509_11		
PFE0175c	e15509_5	3	0.975417492
PFE0175c	opfblob0060		
PFE0190c	e15509_1	2	0.885930637
PFE0190c	f36120_1		
PFE0195w	e29931_1	2	0.88996857
PFE0195w	f47984_1		
PFE0235c	e12266_2	2	0.971305906
PFE0235c	e9255_1		
PFE0245c	f31971_1	2	0.939098232
PFE0245c	f62610_1		
PFE0250w	e6820_1	2	0.82244381
PFE0250w	f62610_2		
PFE0295w	e26577_1	2	0.975159957
PFE0295w	e26577_2		
PFE0325w	e5479_1	2	0.910360257
PFE0325w	f23940_2		
PFE0400w	e16122_8	2	0.989616247
PFE0400w	f71176_5		
PFE0415w	e21208_4	2	0.942924577
PFE0415w	f42069_4		
PFE0425w	f42069_1	2	0.760063372
PFE0425w	opfblob0164		
PFE0440w	e11772_2	2	0.979750886
PFE0440w	opfblob0182		
PFE0445c	d13568_1	2	0.933601177
PFE0445c	d13568_2		
PFE0560c	e24677_1	2	0.952539778
PFE0560c	f7809_2		
PFE0570w	e11202_1	2	0.903552242
PFE0570w	e15697_1		
PFE0595w	f36356_2	2	0.969627604
PFE0595w	f36356_4		
PFE0675c	e19631_3		
PFE0675c	opfg0034	3	0.974806252
PFE0675c	opfg0052		
PFE0685w	e8314_2	2	0.811656555
PFE0685w	f44837_3		
PFE0740c	e20147_1		
PFE0740c	f18550_1	3	0.876378148
PFE0740c	opfg0051		
PFE0760w	e18877_2	2	0.97732795
PFE0760w	e18877_3		
PFE0820c	e18512_2	2	0.941869446
PFE0820c	f71853_2		
PFE0835w	e13220_3	2	0.970714196
PFE0835w	f71130_3		
PFE0840c	f45342_1		
PFE0840c	f45342_2	3	0.950661335
PFE0840c	f71130_4		
PFE0895c	e27723_15	2	0.928097335
PFE0895c	e27723_16		
PFE0935c	e12599_2		
PFE0935c	e24569_4	3	0.809525021
PFE0935c	f42117_4		
PFE0980c	e16452_1	2	0.967855746
PFE0980c	f40572_9		
PFE0995c	e679_2	2	0.958811429
PFE0995c	e679_5		
PFE1005w	e29615_2	2	0.979612108
PFE1005w	e29615_3		
PFE1010w	e29615_1	2	0.955241287
PFE1010w	f52206_4		
PFE1120w	e11375_3		
PFE1120w	e5708_1	3	0.981513335
PFE1120w	e9987_1		
PFE1150w	z_3_100		
PFE1150w	z_3_20	7	0.67567408
PFE1150w	z_3_50		
PFE1150w	z_3_60		
PFE1150w	z_3_70		
PFE1150w	z_3_80		
PFE1150w	z_3_90		
PFE1160w	e17330_1		
PFE1160w	e17330_2	3	0.954118984
PFE1160w	opfblob0183		
PFE1170w	e6125_5	2	0.816346485
PFE1170w	opfblob0145		
PFE1255w	e24637_1		
PFE1255w	f21429_1	3	0.82601401
PFE1255w	f21429_3		
PFE1260c	e24075_1	2	0.993006815
PFE1260c	f45556_3		
PFE1270c	e29792_2	2	0.965663769
PFE1270c	f13309_2		
PFE1400c	e13603_1	2	0.746150936
PFE1400c	f49582_1		
PFE1455w	e9299_6	2	0.903566504
PFE1455w	f53383_7		
PFE1490c	e8100_2	2	0.962548225
PFE1490c	e8100_4		
PFE1505w	e7279_3	2	0.955411185
PFE1505w	f65658_4		
PFE1530c	e18606_4	2	0.939054409
PFE1530c	f16550_11		
PFE1535w	e1220_1	2	0.860316199
PFE1535w	f16550_9		
PFE1550w	e7861_3	2	0.959943396
PFE1550w	f4271_1		
PFE1570c	e24971_1	2	0.963851757
PFE1570c	e4295_1		
PFE1605w	d46820_1		
PFE1605w	e7871_1	3	0.996444383
PFE1605w	f13845_1		
PFI0135c	i587_1		
PFI0135c	opfblob0111	3	0.97646371
PFI0135c	opfi17688		
PFI0155c	i17263_1	2	0.987991631
PFI0155c	opfi17641		
PFI0160w	e25749_1		
PFI0160w	i12310_2	3	0.991086788
PFI0160w	kn226_1		
PFI0165c	f23916_1		
PFI0165c	i12816_1	5	0.945592269
PFI0165c	i6032_1		
PFI0165c	i6032_2		
PFI0165c	opfi17693		
PFI0175w	i4719_2		
PFI0175w	i4719_5	3	0.98814674
PFI0175w	i4719_6		
PFI0180w	i16837_2	2	0.986767837
PFI0180w	opfi17633		
PFI0195c	i8083_1	2	0.917862747
PFI0195c	opfi17737		
PFI0200c	f27391_1		
PFI0200c	i15363_1	3	0.904590977
PFI0200c	i15363_2		
PFI0225w	i9166_1	2	0.484443543
PFI0225w	opfblob0163		
PFI0235w	f18417_1	2	0.886891112
PFI0235w	opfi17721		
PFI0265c	i11448_2	2	0.981327414
PFI0265c	i11448_5		
PFI0290c	i8256_1	2	0.871152769
PFI0290c	opfi17670		
PFI0295c	i1664_2		
PFI0295c	kn5905_4	3	0.980012721
PFI0295c	kn5905_5		
PFI0330c	i15927_7	2	0.952266625
PFI0330c	i8129_1		
PFI0335w	i15927_5	2	0.935076123
PFI0335w	i15927_6		
PFI0365w	i8332_1	2	0.868402535
PFI0365w	opfblob0184		
PFI0410c	i16129_1		
PFI0410c	i3340_1	4	0.950687424
PFI0410c	i3340_3		
PFI0410c	i7597_1		
PFI0475w	i5180_1	2	0.544696085
PFI0475w	i5180_2		
PFI0480w	i13674_5	2	0.906783226
PFI0480w	opfi17683		
PFI0495w	i6567_1		
PFI0495w	i6567_2	3	0.879061675
PFI0495w	opfblob0188		
PFI0505c	i3489_1	2	0.912199884
PFI0505c	i8013_1		
PFI0510c	e10857_1		
PFI0510c	i4730_1	4	0.915298962
PFI0510c	i622_1		
PFI0510c	i9598_3		
PFI0530c	i11401_2		
PFI0530c	kn9335_1	3	0.981683925
PFI0530c	opfi17696		
PFI0540w	e25593_1		
PFI0540w	i17174_3	3	0.977919292
PFI0540w	i5974_1		
PFI0565w	i1393_1	2	0.975451077
PFI0565w	i15870_1		
PFI0570w	f69725_1	2	0.952739165
PFI0570w	i10565_1		
PFI0645w	f19787_1	2	0.940482686
PFI0645w	f19787_2		
PFI0665w	i15461_1		
PFI0665w	i15461_2	3	0.915208106
PFI0665w	i6724_1		
PFI0680c	i5222_1	2	0.984292433
PFI0680c	opfi17706		
PFI0690c	f27351_1	2	0.958944812
PFI0690c	i496_1		
PFI0710c	i8674_1	2	0.843626736
PFI0710c	i8674_2		
PFI0730w	f48839_1	2	0.888229474
PFI0730w	i6658_1		
PFI0795w	i15719_2	2	0.961702501
PFI0795w	i15719_4		
PFI0820c	i16748_1	2	0.99110736
PFI0820c	opfi17735		
PFI0850w	i10790_1	2	0.932163017
PFI0850w	i4555_2		
PFI0860c	i1904_1	2	0.928037915
PFI0860c	opfi17646		
PFI0865w	i11857_2	2	0.962812677
PFI0865w	i11857_3		
PFI0870w	e11286_1	2	0.973927312
PFI0870w	i7404_1		
PFI0880c	i11182_1	2	0.986695833
PFI0880c	opfi17695		
PFI0890c	i6033_4	2	0.900642842
PFI0890c	opfi17668		
PFI0895c	i15861_1		
PFI0895c	i15861_2	4	0.980487709
PFI0895c	opfblob0095		
PFI0895c	opfi17709		
PFI0920c	f11743_1	2	0.978004812
PFI0920c	i17310_6		
PFI0925w	f46067_3		
PFI0925w	f46067_4	4	0.978337839
PFI0925w	i8803_1		
PFI0925w	opfi17637		
PFI0975c	f37098_2		
PFI0975c	f37487_1	4	0.965779861
PFI0975c	f6335_1		
PFI0975c	i8781_1		
PFI0990c	f71096_1	2	0.652166544
PFI0990c	i8325_1		
PFI1000w	i4780_1	2	0.964209946
PFI1000w	i4780_2		
PFI1005w	i3555_1		
PFI1005w	i3555_2	3	0.993636481
PFI1005w	opfi17704		
PFI1060w	f70095_1	2	0.963040043
PFI1060w	i7365_3		
PFI1070c	i4487_1	2	0.975278201
PFI1070c	kn7264_1		
PFI1075w	f61293_1	2	0.947993758
PFI1075w	opfi17705		
PFI1090w	i14812_1	2	0.867405193
PFI1090w	opfblob0001		
PFI1110w	i4989_2	2	0.985519601
PFI1110w	opfi17673		
PFI1115c	i4989_1	2	-0.191861043
PFI1115c	opfi17698		
PFI1120c	e6662_1		
PFI1120c	i12932_1	4	0.928005729
PFI1120c	i14864_1		
PFI1120c	kn7943_1		
PFI1130c	i16046_2	2	0.925005046
PFI1130c	opfi17677		
PFI1170c	i16933_1	2	0.948938738
PFI1170c	opfi17632		
PFI1180w	f4688_1	2	0.88991778
PFI1180w	opfi17689		
PFI1185c	i1175_1	2	0.800679248
PFI1185c	opfblob0168		
PFI1200w	f16984_1	2	0.957371607
PFI1200w	i9876_1		
PFI1240c	i1781_2	2	0.982071663
PFI1240c	opfi17701		
PFI1245c	i5252_1	2	0.936559878
PFI1245c	opfblob0017		
PFI1265w	i10882_1		
PFI1265w	i6081_1	3	0.931443216
PFI1265w	j1588_1		
PFI1290w	d56327_1	2	0.604576526
PFI1290w	i1974_1		
PFI1315c	i7697_1	2	0.911076698
PFI1315c	i7697_2		
PFI1340w	opfblob0082	2	0.979016582
PFI1340w	opfi17652		
PFI1415w	i5700_1	2	0.90051967
PFI1415w	opfblob0121		
PFI1420w	opfi17660	2	0.984993294
PFI1420w	opfi17739		
PFI1445w	f5910_2		
PFI1445w	i14956_1	3	0.985604205
PFI1445w	i8447_1		
PFI1470c	i12692_1		
PFI1470c	i4547_1	3	0.208245317
PFI1470c	opfi17671		
PFI1475w	f8511_1		
PFI1475w	i14201_1	10	0.97513343
PFI1475w	i6653_2		
PFI1475w	opfblob0012		
PFI1475w	z_4_100		
PFI1475w	z_4_50		
PFI1475w	z_4_60		
PFI1475w	z_4_70		
PFI1475w	z_4_80		
PFI1475w	z_4_90		
PFI1480w	i16487_2		
PFI1480w	i16487_3	4	0.910771288
PFI1480w	kn3709_1		
PFI1480w	opfi17719		
PFI1485c	opfi17708	2	0.967458362
PFI1485c	opfi17722		
PFI1500w	f23545_1		
PFI1500w	i13569_1	6	0.562756915
PFI1500w	i13569_2		
PFI1500w	i3149_1		
PFI1500w	kn918_1		
PFI1500w	opfblob0172		
PFI1520w	d56470_1	2	0.937647439
PFI1520w	d56470_2		
PFI1525w	f15517_1	2	0.93833953
PFI1525w	opfblob0159		
PFI1560c	i17152_1	2	0.948479841
PFI1560c	opfi17681		
PFI1575c	f27464_2		
PFI1575c	i14670_5	3	0.978218433
PFI1575c	opfblob0138		
PFI1605w	i17505_1	2	0.596539283
PFI1605w	opfi17728		
PFI1620c	f22741_1	2	0.976229519
PFI1620c	f22741_2		
PFI1625c	f26774_1	2	0.968330893
PFI1625c	opfi17662		
PFI1640c	i1897_2	2	0.949019658
PFI1640c	opfi17684		
PFI1645c	kn1047_2		
PFI1645c	kn1047_4	3	0.939041095
PFI1645c	opfblob0149		
PFI1650w	f52084_1		
PFI1650w	i9764_1	4	0.911150104
PFI1650w	opfi17645		
